Date,Max_Temp_C,Min_Temp_C,Avg_Temp_C
2012-12-07,16.7,8.3,12.5
2012-12-08,21.1,12.2,16.65
2012-12-09,22.2,15.0,18.6
2012-12-10,17.8,4.4,11.100000000000001
2012-12-11,6.1,1.7,3.9
2012-12-12,10.6,1.7,6.1499999999999995
2012-12-13,13.3,-1.7,5.800000000000001
2012-12-14,14.4,-2.2,6.1
2012-12-15,15.0,5.0,10.0
2012-12-16,13.9,10.6,12.25
2012-12-17,16.7,11.7,14.2
2012-12-18,16.1,5.6,10.850000000000001
2012-12-19,18.3,2.2,10.25
2012-12-20,13.3,5.6,9.45
2012-12-21,6.7,1.1,3.9000000000000004
2012-12-22,10.0,-3.9,3.05
2012-12-23,12.8,-3.3,4.75
2012-12-24,11.7,6.1,8.899999999999999
2012-12-25,9.4,6.7,8.05
2012-12-26,12.2,1.7,6.949999999999999
2012-12-27,3.9,0.6,2.25
2012-12-28,5.6,0.0,2.8
2012-12-29,6.1,1.1,3.5999999999999996
2012-12-30,6.1,-2.2,1.9499999999999997
2012-12-31,9.4,-2.8,3.3000000000000003
